location_id,city,state,country,postal_code,timezone,region
1,South Maria,Georgia,American Samoa,21532,Asia/Colombo,West
2,South Erica,Missouri,Bulgaria,29264,America/Regina,North
3,Michaelberg,Missouri,Cape Verde,52922,America/St_Lucia,South
4,Christophershire,Nevada,Netherlands,46145,Europe/Malta,North
5,Leonardburgh,Kentucky,Gibraltar,06155,Europe/Sofia,West
6,South Troyfurt,Nebraska,Saint Barthelemy,50146,Atlantic/Cape_Verde,South
7,Smithfurt,New York,Slovenia,92948,Africa/Conakry,West
8,Lake Brandonland,Wyoming,Kazakhstan,06031,Africa/Tripoli,South
9,Masonfort,Virginia,Holy See (Vatican City State),99555,Africa/Abidjan,North
10,Lake Noahmouth,South Dakota,Niue,70656,Europe/Minsk,East
11,Christopherville,Kentucky,Azerbaijan,62797,Asia/Beirut,East
12,South Brittanyborough,Utah,Latvia,37270,America/St_Kitts,East
13,West Lesliefurt,Georgia,Guam,35661,Asia/Choibalsan,East
14,Port Sarahtown,California,Ukraine,12213,America/Havana,South
15,Port Michelleville,Minnesota,Kenya,09006,Africa/Windhoek,West
16,South Teresa,Oregon,Bouvet Island (Bouvetoya),75957,America/Guyana,West
17,Davidside,Nevada,Armenia,93971,America/Barbados,East
18,Danielleview,Delaware,Slovenia,42423,Europe/Copenhagen,West
19,Monroeberg,Kentucky,Congo,03293,Africa/Casablanca,West
20,West Staceymouth,Idaho,Venezuela,87751,Indian/Mahe,East
21,New Nathanielchester,Hawaii,Afghanistan,94104,Africa/Bujumbura,South
22,Port Judith,Oklahoma,Sierra Leone,27594,Africa/Sao_Tome,West
23,Pattymouth,Oklahoma,Haiti,34818,Asia/Rangoon,North
24,Brendaport,Colorado,Reunion,86542,Africa/Djibouti,North
25,New Stacey,Alaska,Reunion,61335,Asia/Brunei,North
26,South Benjaminton,California,Barbados,67996,America/Havana,South
27,Gardnerland,New Hampshire,Eritrea,55336,Asia/Bangkok,South
28,Tinaberg,South Carolina,Guinea,27382,Africa/Blantyre,North
29,Christopherfort,South Dakota,Panama,01921,America/Nipigon,East
30,Port Michael,Pennsylvania,Estonia,54849,Africa/Kigali,South
31,Cookstad,Michigan,Nepal,22985,Africa/Harare,East
32,East Bobbyshire,Nevada,Marshall Islands,48553,Europe/Sofia,North
33,Lake Thomasfurt,Montana,Cameroon,39394,Asia/Aqtobe,South
34,North Crystal,Kentucky,Georgia,64549,Africa/Ouagadougou,West
35,North Melissamouth,Kansas,Bhutan,68168,America/Campo_Grande,North
36,New Christopher,Alabama,Bangladesh,15548,Europe/Helsinki,South
37,South Chad,Oregon,Kenya,91520,Pacific/Auckland,North
38,Carolmouth,Missouri,Iraq,03933,Europe/Belgrade,West
39,Port Michael,Virginia,Saint Vincent and the Grenadines,32511,Asia/Kabul,North
40,Tonyahaven,Vermont,Kazakhstan,51675,Atlantic/Reykjavik,South
41,East Lori,Illinois,Saint Helena,27250,Europe/Sarajevo,West
42,South Kristen,Louisiana,Australia,81229,Pacific/Efate,West
43,East Donaldmouth,Kansas,Gabon,09287,Europe/Oslo,East
44,East Kathleenbury,California,Costa Rica,43420,Asia/Qatar,West
45,Grantland,Connecticut,Sweden,89372,America/Eirunepe,South
46,North Gina,Washington,Mongolia,08432,Africa/Dar_es_Salaam,North
47,East Jason,Oklahoma,Saint Barthelemy,96732,Europe/Riga,North
48,New Danielle,Colorado,China,33251,Europe/Ljubljana,South
49,Kathrynbury,Vermont,Pitcairn Islands,23198,Europe/Bucharest,West
50,West Alison,Hawaii,Paraguay,26277,Africa/Accra,East
51,North Michelleland,Ohio,Brunei Darussalam,71272,Asia/Baku,West
52,Matthewview,Illinois,Tanzania,75384,Africa/Monrovia,North
53,East Peter,Nebraska,Yemen,84385,Africa/Nairobi,West
54,East Elizabethshire,Utah,Saint Pierre and Miquelon,26229,Asia/Samarkand,South
55,South Pennyside,Illinois,Maldives,59440,America/Belize,West
56,North Jennifer,Texas,Lao People's Democratic Republic,29517,America/Costa_Rica,South
57,North Tracey,Alaska,Mali,40124,Africa/Abidjan,North
58,Myersshire,Alabama,Turks and Caicos Islands,10586,Europe/Vilnius,East
59,Baxterburgh,Delaware,Cape Verde,45066,America/Santo_Domingo,East
60,Kiddville,Washington,Ukraine,20203,Africa/Khartoum,South
61,East John,Minnesota,Thailand,22164,Asia/Bishkek,West
62,Katrinaland,Pennsylvania,Heard Island and McDonald Islands,49963,Europe/Berlin,South
63,Curryshire,Minnesota,New Zealand,76061,Europe/Berlin,South
64,Sierraland,Montana,Bolivia,82678,Europe/Zagreb,West
65,Biancabury,Wisconsin,Pakistan,35787,America/Lima,North
66,Hugheshaven,Massachusetts,Cote d'Ivoire,96945,Pacific/Funafuti,East
67,West Katelyn,North Dakota,Norway,13974,Asia/Damascus,South
68,New Jodi,Illinois,Cook Islands,47893,Asia/Manila,West
69,New Marvinland,Pennsylvania,Cuba,23300,Europe/Warsaw,South
70,Coleport,Florida,Lithuania,79106,Europe/Oslo,West
71,New Jasonton,Massachusetts,Namibia,80743,Africa/Lusaka,East
72,Jenniferside,Rhode Island,Benin,16803,Europe/Budapest,North
73,New Jeffrey,Virginia,Malta,67012,Asia/Colombo,North
74,Alexandermouth,Connecticut,Ukraine,96105,Africa/Abidjan,East
75,Adrienneport,Indiana,Bermuda,75580,Africa/Conakry,South
76,Amandaview,Tennessee,Sweden,43368,Africa/Kampala,South
77,Cynthiamouth,Washington,Niger,96095,America/La_Paz,South
78,Jimenezton,Arizona,Anguilla,85470,Europe/Skopje,East
79,Janicehaven,Ohio,Palestinian Territory,33566,Europe/Tirane,East
