product_id,product_name,category,subcategory,brand,base_price,supplier,is_active,valid_from
1,Reebok Accessories Purpose,Sports,Accessories,Reebok,280.85,Johnson LLC,0,2023-07-13
2,Adidas Shoes Dog,Clothing,Shoes,Adidas,862.4,Doyle Ltd,1,2024-08-01
3,HP Cameras Wait,Electronics,Cameras,HP,143.78,"Miller, Henderson and Johnson",0,2023-06-22
4,Adidas Dresses Early,Clothing,Dresses,Adidas,492.34,"Guzman, Hoffman and Baldwin",1,2024-07-01
5,Cuisinart Bedding Offer,Home & Kitchen,Bedding,Cuisinart,57.9,Robinson-Lawrence,1,2024-09-23
6,Penguin Non-fiction True,Books,Non-fiction,Penguin,422.99,Blake and Sons,0,2024-06-29
7,HarperCollins Fiction Knowledge,Books,Fiction,HarperCollins,943.71,Ramirez-Lewis,0,2024-08-19
8,Nivea Personal Care Great,Beauty,Personal Care,Nivea,757.44,Davis Inc,0,2023-10-09
9,Under Armour Nutrition Throw,Sports,Nutrition,Under Armour,679.99,Munoz-Roman,1,2024-07-23
10,Zara Activewear Machine,Clothing,Activewear,Zara,57.74,"Martinez, Nielsen and Miller",0,2023-08-19
11,Simon & Schuster Non-fiction Themselves,Books,Non-fiction,Simon & Schuster,315.74,"Montgomery, Hensley and Ray",1,2024-07-04
12,Adidas Nutrition Available,Sports,Nutrition,Adidas,114.57,Stanley LLC,0,2023-03-06
13,Wayfair Decor Top,Home & Kitchen,Decor,Wayfair,815.83,Delacruz Group,1,2023-08-07
14,Reebok Nutrition Long,Sports,Nutrition,Reebok,922.83,"Flowers, Martin and Kelly",0,2024-06-07
15,Penguin Business Example,Books,Business,Penguin,531.04,"Zuniga, Wong and Lynch",0,2023-05-16
16,H&M Dresses None,Clothing,Dresses,H&M,534.53,"Sanchez, Ford and Nelson",0,2024-12-22
17,Levi's T-shirts Push,Clothing,T-shirts,Levi's,144.33,"Hawkins, Cohen and Cameron",0,2024-08-28
18,Asus Cameras Arrive,Electronics,Cameras,Asus,790.42,Underwood LLC,1,2023-11-11
19,Nike Nutrition Executive,Sports,Nutrition,Nike,754.06,Clark PLC,0,2024-11-14
20,KitchenAid Bedding Serious,Home & Kitchen,Bedding,KitchenAid,345.9,Lewis-Porter,1,2024-11-21
21,IKEA Furniture Who,Home & Kitchen,Furniture,IKEA,281.19,"Ellis, Baker and Wright",0,2024-03-15
22,Puma Accessories Nothing,Sports,Accessories,Puma,400.33,Burgess-Patterson,0,2024-04-01
23,MAC Haircare Inside,Beauty,Haircare,MAC,810.73,Robinson-Bright,0,2024-02-03
24,MAC Personal Care Minute,Beauty,Personal Care,MAC,422.05,Campos Inc,0,2023-05-02
25,Samsung Gaming Consoles Product,Electronics,Gaming Consoles,Samsung,419.7,Conner Group,0,2024-04-11
26,Penguin Technology Attack,Books,Technology,Penguin,651.06,James-Ferrell,1,2024-02-18
27,Penguin Non-fiction Enter,Books,Non-fiction,Penguin,864.24,"Valencia, Smith and Le",1,2024-06-16
28,Under Armour T-shirts Value,Clothing,T-shirts,Under Armour,134.04,"Potter, Mack and Peterson",0,2023-08-19
29,Dell Tablets Learn,Electronics,Tablets,Dell,135.43,Chavez Ltd,0,2024-11-14
30,Asus Smartphones Serve,Electronics,Smartphones,Asus,676.73,Stanton-Gill,0,2024-02-02
31,Penguin Technology While,Books,Technology,Penguin,796.08,Harrell LLC,0,2024-10-18
32,HomeDepot Decor Purpose,Home & Kitchen,Decor,HomeDepot,509.49,"Lynch, Hernandez and Farmer",1,2024-02-26
33,Wayfair Cookware Start,Home & Kitchen,Cookware,Wayfair,188.64,"Sellers, George and Burns",1,2023-03-31
34,Uniqlo Jackets Woman,Clothing,Jackets,Uniqlo,894.49,Koch-Decker,1,2023-08-30
35,Under Armour Jackets Education,Clothing,Jackets,Under Armour,683.57,Allen PLC,0,2023-03-06
36,Levi's Jackets Bed,Clothing,Jackets,Levi's,509.29,"Tucker, Jones and Hodges",0,2024-08-20
37,LG Gaming Consoles Car,Electronics,Gaming Consoles,LG,709.89,Keller PLC,0,2023-05-12
38,MAC Makeup Evidence,Beauty,Makeup,MAC,660.9,"Brennan, Henderson and Lewis",1,2024-02-26
39,Reebok Footwear Someone,Sports,Footwear,Reebok,613.83,"Vaughn, Marquez and Ross",1,2024-06-08
40,L'Oreal Fragrances Rate,Beauty,Fragrances,L'Oreal,366.72,Kim-Holmes,1,2023-04-07
41,New Balance Apparel End,Sports,Apparel,New Balance,950.05,Brown Inc,1,2024-04-04
42,Nike Nutrition Once,Sports,Nutrition,Nike,379.48,Chapman Inc,1,2023-02-28
43,Puma Accessories Second,Sports,Accessories,Puma,20.85,"Brown, Jones and Johnson",0,2023-09-17
44,New Balance Footwear Avoid,Sports,Footwear,New Balance,422.67,"Young, Caldwell and Lewis",0,2023-04-16
45,Nike Activewear Several,Clothing,Activewear,Nike,808.91,"Johnston, Sanchez and Kennedy",1,2023-11-16
46,LG Smartwatches Customer,Electronics,Smartwatches,LG,822.08,Davis Group,0,2023-10-06
47,Macmillan Business Land,Books,Business,Macmillan,789.18,Owens-Daniel,1,2024-06-10
48,KitchenAid Bedding Ready,Home & Kitchen,Bedding,KitchenAid,216.06,"Garcia, Powell and Morgan",1,2024-11-03
49,L'Oreal Personal Care Boy,Beauty,Personal Care,L'Oreal,786.09,Lee PLC,1,2023-12-18
50,Adidas Nutrition Challenge,Sports,Nutrition,Adidas,434.77,White-Ford,0,2024-11-13
51,Penguin Science Wind,Books,Science,Penguin,926.1,Ramos PLC,1,2023-03-21
52,Lenovo Cameras Apply,Electronics,Cameras,Lenovo,966.83,"Kidd, Huff and Novak",0,2024-12-23
53,L'Oreal Makeup Some,Beauty,Makeup,L'Oreal,160.32,Martin Group,0,2024-01-12
54,Adidas Accessories Different,Sports,Accessories,Adidas,270.66,Barrera-Martin,1,2023-01-05
55,Sony Smartwatches In,Electronics,Smartwatches,Sony,964.86,House-Glover,0,2023-08-13
56,Simon & Schuster Fiction Land,Books,Fiction,Simon & Schuster,798.62,"Bernard, Cowan and Peters",0,2024-07-15
57,Zara Sweaters Message,Clothing,Sweaters,Zara,151.86,Lee and Sons,1,2023-02-18
58,Random House Non-fiction Particularly,Books,Non-fiction,Random House,554.57,"Daniels, Adkins and Brown",0,2024-04-01
59,Reebok Equipment Me,Sports,Equipment,Reebok,842.49,"Calhoun, Schmidt and Brown",1,2024-02-02
60,Dove Haircare Be,Beauty,Haircare,Dove,603.47,Jones Inc,0,2024-06-11
61,Zara Jackets Training,Clothing,Jackets,Zara,413.31,Powell PLC,1,2023-07-14
62,Puma Nutrition Particular,Sports,Nutrition,Puma,692.98,"Williams, Miller and Sandoval",1,2024-03-18
63,Nike Footwear Necessary,Sports,Footwear,Nike,830.66,Donovan-Harris,0,2024-07-13
64,Maybelline Personal Care Former,Beauty,Personal Care,Maybelline,998.87,Baker and Sons,0,2024-06-08
65,Reebok Nutrition Quite,Sports,Nutrition,Reebok,219.06,Bryant-Hickman,1,2024-12-30
66,MAC Haircare Baby,Beauty,Haircare,MAC,273.69,Ellis PLC,0,2023-03-22
67,Adidas Footwear Back,Sports,Footwear,Adidas,807.54,"Lewis, Baker and Mahoney",1,2024-11-18
68,Adidas Jeans Authority,Clothing,Jeans,Adidas,549.88,Wood and Sons,1,2023-12-10
69,Nike Accessories These,Sports,Accessories,Nike,29.69,"Warner, Carr and Archer",0,2024-05-25
70,Estee Lauder Personal Care Newspaper,Beauty,Personal Care,Estee Lauder,308.74,Contreras PLC,0,2023-08-24
71,Dove Personal Care Work,Beauty,Personal Care,Dove,653.28,"Garcia, Humphrey and Baker",1,2024-11-25
72,LG Cameras Both,Electronics,Cameras,LG,160.41,"Tran, Nelson and Jacobs",1,2024-07-14
73,Nike Footwear Gun,Sports,Footwear,Nike,855.02,Watts LLC,0,2024-01-31
74,Nivea Haircare Middle,Beauty,Haircare,Nivea,15.33,Whitehead-Mathis,1,2023-03-16
75,Penguin Fiction Protect,Books,Fiction,Penguin,623.45,Calderon-Williams,1,2023-09-20
76,Random House Business Spend,Books,Business,Random House,783.13,Walsh LLC,0,2023-05-09
77,Simon & Schuster Fiction Site,Books,Fiction,Simon & Schuster,895.51,Arnold-Patterson,1,2023-01-11
78,L'Oreal Skincare Brother,Beauty,Skincare,L'Oreal,650.28,Landry Ltd,1,2024-12-06
79,KitchenAid Storage Church,Home & Kitchen,Storage,KitchenAid,840.18,"Johnson, Wood and Tran",1,2023-12-03
80,Uniqlo T-shirts Care,Clothing,T-shirts,Uniqlo,122.25,Parker Inc,0,2024-12-02
81,Dove Haircare Help,Beauty,Haircare,Dove,384.39,Fleming Ltd,0,2023-03-24
82,Apple Laptops Health,Electronics,Laptops,Apple,256.38,"Henson, Russell and Oliver",0,2023-05-04
83,KitchenAid Small Appliances Wish,Home & Kitchen,Small Appliances,KitchenAid,14.45,Hancock and Sons,1,2024-11-18
84,Reebok Equipment Itself,Sports,Equipment,Reebok,716.5,White LLC,0,2024-09-02
85,Ninja Furniture Word,Home & Kitchen,Furniture,Ninja,235.19,Pham-Shields,0,2024-09-24
86,Nike Sweaters Energy,Clothing,Sweaters,Nike,350.24,Moore-Haynes,1,2023-10-28
87,Reebok Equipment Turn,Sports,Equipment,Reebok,58.87,Garrison and Sons,0,2023-06-08
88,New Balance Apparel Technology,Sports,Apparel,New Balance,815.89,Bailey-Hoover,0,2024-11-10
89,Sony Laptops Drive,Electronics,Laptops,Sony,365.35,Johnson and Sons,0,2023-11-09
90,HarperCollins Science Get,Books,Science,HarperCollins,885.16,Lin-Rasmussen,1,2023-08-08
91,Under Armour Footwear Have,Sports,Footwear,Under Armour,307.39,"Hicks, Frazier and Anthony",0,2023-09-18
92,Dell Smartwatches Wrong,Electronics,Smartwatches,Dell,894.99,Wilson LLC,1,2023-05-22
93,Macmillan Science Partner,Books,Science,Macmillan,935.4,Johnson-Carlson,1,2023-09-29
94,L'Oreal Skincare Shoulder,Beauty,Skincare,L'Oreal,805.66,Graham-Joyce,1,2023-04-03
95,Puma Equipment Image,Sports,Equipment,Puma,423.33,"Lee, Williams and Graham",0,2024-02-11
96,MAC Skincare Wish,Beauty,Skincare,MAC,581.79,"Mcdaniel, Bentley and Mclaughlin",1,2023-06-06
97,Asus Gaming Consoles Himself,Electronics,Gaming Consoles,Asus,816.48,Jones-Beck,1,2023-09-17
98,Zara Sweaters Price,Clothing,Sweaters,Zara,835.47,Alvarado-Martinez,1,2024-12-03
99,Ninja Cookware First,Home & Kitchen,Cookware,Ninja,382.91,"Parker, Ortiz and Powell",1,2023-08-21
100,Uniqlo Dresses Once,Clothing,Dresses,Uniqlo,65.34,Lee Ltd,0,2025-01-03
101,IKEA Cookware Hundred,Home & Kitchen,Cookware,IKEA,743.64,"Adkins, Thompson and Carroll",1,2023-11-15
102,Estee Lauder Fragrances Official,Beauty,Fragrances,Estee Lauder,499.84,Torres and Sons,1,2023-12-03
103,Estee Lauder Makeup Stock,Beauty,Makeup,Estee Lauder,571.34,"Lawson, Morris and Ramos",1,2024-06-11
104,Asus Smartwatches Different,Electronics,Smartwatches,Asus,342.28,"Kennedy, Santana and Flynn",0,2023-05-15
105,Samsung Cameras Reason,Electronics,Cameras,Samsung,44.39,Campbell Ltd,0,2024-05-09
106,New Balance Accessories President,Sports,Accessories,New Balance,423.62,Davis-Crane,0,2023-07-05
107,IKEA Cookware Remember,Home & Kitchen,Cookware,IKEA,702.37,Walker-Gonzalez,0,2023-01-22
108,Nike T-shirts Any,Clothing,T-shirts,Nike,80.72,Riggs PLC,1,2024-10-25
109,Apple Smartphones Special,Electronics,Smartphones,Apple,426.68,Gibson Ltd,1,2024-03-26
110,Nivea Fragrances Day,Beauty,Fragrances,Nivea,324.37,"Horton, Snyder and Sanchez",0,2024-05-27
