product_key,SKU_number,product_description,package_type,package_size,size,color,brand,category,subcategory,department,manufacturer,weight,unit_of_measure,unit_price_base
1,ES000000,Build piece land else mouth. Think start member forward. Community evening join series own ago.,Bag,Small,XS,DarkKhaki,Sony,Electronics,Accessories,Electronics,Sony,218,g,310.08
2,HW000001,Step fly require ground probably follow. Feeling subject pressure say help prevent.,Pallet,Large,N/A,LightCoral,Wayfair,Home & Garden,Kitchen,Home & Garden,Wayfair,6006,g,379.21
3,BH000002,Bad others knowledge action. Fight think campaign husband leader picture card.,Box,X-Large,S,Violet,HarperCollins,Books,Comics,Books,HarperCollins,1393,g,316.44
4,FG000003,Threat smile yard foot learn generation among pick. Attention artist his him something bed people.,Envelope,Medium,L,Tan,General Mills,Food,Beverages,Food,General Mills,1122,g,713.88
5,CH000004,Would short law. Control her parent candidate attack campaign hospital.,Pallet,X-Large,S,White,H&M,Clothing,Outerwear,Clothing,H&M,393,g,591.15
6,CZ000005,When say film point article should field.,Crate,X-Large,XL,Beige,Zara,Clothing,Dresses,Clothing,Zara,560,g,510.06
7,HH000006,Reach yourself artist company federal list. Region at yes include beautiful.,Pallet,X-Large,XS,SeaShell,HomeDepot,Home & Garden,Bedding,Home & Garden,HomeDepot,2348,g,162.1
8,FK000007,Walk into keep break include one finally.,Crate,Large,XS,SeaShell,Kellogg's,Food,Beverages,Food,Kellogg's,945,g,641.49
9,TF000008,System boy real eat rich major voice. Within view letter raise north huge.,Box,Large,XL,Tan,Fisher-Price,Toys,Educational Toys,Toys,Fisher-Price,2559,g,869.2
10,CN000009,American your low present social. Call east someone.,Bag,Small,M,Crimson,Nike,Clothing,Shirts,Clothing,Nike,477,g,790.33
11,HH000010,"Event meet simple all here news.
List wrong western realize.",Envelope,Medium,S,Cornsilk,HomeDepot,Home & Garden,Bedding,Home & Garden,HomeDepot,8971,g,954.75
12,TH000011,"Tell center dream forget case several.
Once start change true wall adult.",Box,Medium,S,Gold,Hasbro,Toys,Educational Toys,Toys,Hasbro,392,g,640.75
13,EA000012,Camera wait style meeting. Within run those mission. Leg rock reach with surface relate threat.,Box,Large,S,Silver,Apple,Electronics,Accessories,Electronics,Apple,2615,g,147.94
14,TF000013,Matter evening us. Still brother project full. Try carry weight leg drug tonight.,Envelope,X-Large,XL,DeepSkyBlue,Fisher-Price,Toys,Educational Toys,Toys,Fisher-Price,281,g,989.61
15,BC000014,Should area writer pay sister make ten. Gas scene measure price.,Box,Medium,XL,PowderBlue,Clinique,Beauty,Skincare,Beauty,Clinique,369,g,67.28
16,HI000015,Management maybe according beyond box artist artist. Space other serious choice.,Bag,X-Large,XS,LightGreen,IKEA,Home & Garden,Bedding,Home & Garden,IKEA,13203,g,388.66
17,HI000016,Two history occur wind cell.,Envelope,Large,XL,PowderBlue,IKEA,Home & Garden,Bedding,Home & Garden,IKEA,17521,g,682.72
18,BH000017,Market direction recent detail. Compare manage finish. Return best laugh share.,Box,X-Large,L,DarkCyan,HarperCollins,Books,Educational,Books,HarperCollins,422,g,772.88
19,BH000018,Since group increase example community. Brother event feeling a your wide stop.,Bag,X-Large,N/A,Purple,HarperCollins,Books,Educational,Books,HarperCollins,1907,g,802.82
20,CN000019,Wife condition something likely recent serve nice. Home animal social morning western again price.,Box,X-Large,N/A,DarkSlateGray,Nike,Clothing,Outerwear,Clothing,Nike,812,g,345.99
