promotion_key,promotion_name,promotion_type,promotion_channel,promotion_desc,display_type,display_location,display_provider,promo_cost,promo_begin_date,promo_end_date
1,PROMO_RELATE_0,DISCOUNT,SMS,Can keep run worker history represent present. Baby imagine support generation out network.,FOOTER,PRODUCT,GOOGLE,8160.36,2024-10-16,2024-11-12
2,PROMO_PROFESSOR_1,DISCOUNT,EMAIL,Likely together actually result throughout set. Report back him company why meet culture.,HEADER,HOME,INTERNAL,1896.03,2024-08-03,2024-10-01
3,PROMO_TONIGHT_2,CASHBACK,PUSH,"Ready use learn discover between.
Look Republican her lawyer. From per which old take.",POPUP,CATEGORY,GOOGLE,3162.39,2024-03-27,2024-05-10
4,PROMO_THE_3,BUNDLE,DISPLAY,Threat natural Congress end data land. Easy system trouble or. Nothing professional within society.,SIDEBAR,PRODUCT,FACEBOOK,9031.05,2024-04-02,2024-04-17
5,PROMO_HEALTH_4,CASHBACK,SMS,Guess law than surface world camera. Tough past truth produce military simple.,POPUP,CATEGORY,AFFILIATE,2784.31,2024-10-06,2024-12-12
6,PROMO_HELP_5,BUNDLE,PUSH,Prevent black stock particularly price. Between one get. Him attack city trade.,HEADER,CATEGORY,FACEBOOK,1364.93,2024-03-01,2024-03-13
7,PROMO_ESTABLISH_6,FREESHIP,SOCIAL,Stay stock beautiful manage. Election follow wonder money. No range science discuss special.,FOOTER,HOME,FACEBOOK,2735.55,2024-05-04,2024-07-11
8,PROMO_HIGH_7,FREESHIP,PUSH,Detail hold mouth either including executive. In improve however opportunity.,BANNER,HOME,AFFILIATE,5297.62,2024-01-15,2024-02-15
9,PROMO_HERSELF_8,DISCOUNT,EMAIL,Big through firm front from star. Room summer democratic control.,HEADER,CATEGORY,PARTNER,9825.85,2024-08-20,2024-10-19
10,PROMO_TRIAL_9,CASHBACK,SMS,White memory operation stay popular. Institution future half throw answer.,FOOTER,CATEGORY,AFFILIATE,9894.35,2024-11-07,2024-11-13
11,PROMO_MOTHER_10,BOGO,DISPLAY,Still mother rise become blue. Without shake where happy focus throw. Foreign blood rise.,SIDEBAR,HOME,INTERNAL,8873.51,2024-05-09,2024-05-24
12,PROMO_FRONT_11,DISCOUNT,DISPLAY,Outside station watch wish. Commercial expert develop while management benefit.,BANNER,HOME,PARTNER,4744.05,2024-06-24,2024-07-19
13,PROMO_DIFFERENT_12,CASHBACK,PUSH,For painting generation college. Top hot majority leader available wife sister.,SIDEBAR,HOME,INTERNAL,2114.78,2024-08-21,2024-09-28
14,PROMO_THEY_13,BOGO,DISPLAY,Magazine edge blue. Under magazine account light pressure social exist.,FOOTER,PRODUCT,INTERNAL,4120.7,2024-08-30,2024-09-11
15,PROMO_SEAT_14,CASHBACK,EMAIL,Small just visit course. Water happy institution country usually. You pretty among interview over.,BANNER,HOME,INTERNAL,5337.5,2024-07-16,2024-08-07
16,PROMO_WORKER_15,DISCOUNT,DISPLAY,Pick TV per hair ok family before. Finally study name under.,POPUP,HOME,INTERNAL,8298.81,2024-04-13,2024-05-07
17,PROMO_VARIOUS_16,DISCOUNT,EMAIL,High set turn. Some above dog fear part though.,BANNER,HOME,PARTNER,4551.79,2024-10-15,2024-11-02
18,PROMO_MOTHER_17,BOGO,DISPLAY,Wrong play assume part real. Management meet draw. Successful reach other federal feel option.,FOOTER,CATEGORY,GOOGLE,3532.0,2024-01-20,2024-02-06
